Generation 118: 23.8401:       2646Generation 118: 0.584412
Generation 119: 23.8401:       2643Generation 119: 0.584412
Generation 120: 23.8401:       2640Generation 120: 0.584412
Generation 121: 23.8401:       2637Generation 121: 0.584412
Generation 122: 23.8401:       2634Generation 122: 0.584412
Generation 123: 23.8401:       2631Generation 123: 0.584412
Generation 124: 23.8401:       2628Generation 124: 0.584412
Generation 125: 23.8401:       2626Generation 125: 0.584412
Generation 126: 23.8401:       2623Generation 126: 0.584412
Generation 127: 23.8401:       2620Generation 127: 0.584412
Generation 128: 23.8401:       2617Generation 128: 0.584412
Generation 129: 23.8401:       2614Generation 129: 0.584412
Generation 130: 23.8401:       2611Generation 130: 0.584412
Generation 131: 23.758:       2608Generation 131: 0.584412
Generation 132: 23.758:       2605Generation 132: 0.584412
Generation 133: 23.758:       2602Generation 133: 0.584412
Generation 134: 23.758:       2599Generation 134: 0.584412
Generation 135: 23.758:       2596Generation 135: 0.584412
Generation 136: 23.758:       2593Generation 136: 0.584412
Generation 137: 23.758:       2590Generation 137: 0.584412
Generation 138: 23.758:       2587Generation 138: 0.584412
Generation 139: 23.758:       2584Generation 139: 0.584412
Generation 140: 23.758:       2581Generation 140: 0.584412
Generation 141: 23.758:       2578Generation 141: 0.584412
Generation 142: 23.758:       2575Generation 142: 0.584412
Generation 143: 23.758:       2572Generation 143: 0.584412
Generation 144: 23.758:       2569Generation 144: 0.584412
Generation 145: 23.758:       2566Generation 145: 0.584412
Generation 146: 23.758:       2563Generation 146: 0.584412
Generation 147: 23.758:       2560Generation 147: 0.584412
Generation 148: 23.758:       2557Generation 148: 0.584412
Generation 149: 23.758:       2554Generation 149: 0.584412
Generation 150: 23.758:       2551Generation 150: 0.584412
Generation 151: 23.758:       2548Generation 151: 0.584412
Generation 152: 23.758:       2545Generation 152: 0.584412
Generation 153: 23.758:       2542Generation 153: 0.584412
Generation 154: 23.758:       2539Generation 154: 0.584412
Generation 155: 23.758:       2536Generation 155: 0.584412
Generation 156: 23.758:       2533Generation 156: 0.584412
Generation 157: 23.758:       2530Generation 157: 0.584412
Generation 158: 23.758:       2527Generation 158: 0.584412
Generation 159: 23.758:       2524Generation 159: 0.584412
Generation 160: 23.758:       2521Generation 160: 0.584412
Generation 161: 23.758:       2518Generation 161: 0.584412
Generation 162: 23.758:       2515Generation 162: 0.584412
Generation 163: 23.758:       2512Generation 163: 0.584412
Generation 164: 23.758:       2509Generation 164: 0.584412
Generation 165: 23.758:       2506Generation 165: 0.584412
Generation 166: 23.758:       2503Generation 166: 0.584412
Generation 167: 23.758:       2500Generation 167: 0.584412
Generation 168: 23.758:       2497Generation 168: 0.584412
Generation 169: 23.758:       2494Generation 169: 0.584412
Generation 170: 23.758:       2491Generation 170: 0.584412
Generation 171: 23.758:       2488Generation 171: 0.584412
Generation 172: 23.758:       2485Generation 172: 0.584412
Generation 173: 23.758:       2482Generation 173: 0.584412
Generation 174: 23.758:       2479Generation 174: 0.584412
Generation 175: 23.758:       2476Generation 175: 0.584412
Generation 176: 23.758:       2473Generation 176: 0.584412
Generation 177: 23.758:       2470Generation 177: 0.584412
Generation 178: 23.758:       2467Generation 178: 0.584412
Generation 179: 23.758:       2464Generation 179: 0.584412
Generation 180: 23.758:       2461Generation 180: 0.584412
Generation 181: 23.7801:       2458Generation 181: 0.584412
Generation 182: 23.7801:       2455Generation 182: 0.584412
Generation 183: 23.7801:       2452Generation 183: 0.584412
Generation 184: 23.7801:       2449Generation 184: 0.584412
Generation 185: 23.8401:       2446Generation 185: 0.584412
Generation 186: 23.8401:       2443Generation 186: 0.584412
Generation 187: 23.8401:       2440Generation 187: 0.584412
Generation 188: 23.8401:       2437Generation 188: 0.584412
Generation 189: 23.8401:       2434Generation 189: 0.584412
Generation 190: 23.8401:       2431Generation 190: 0.584412
Generation 191: 23.8401:       2428Generation 191: 0.584412
Generation 192: 23.8401:       2425Generation 192: 0.584412
Generation 193: 23.8401:       2422Generation 193: 0.584412
Generation 194: 23.8401:       2419Generation 194: 0.584412
Generation 195: 23.8401:       2416Generation 195: 0.584412
Generation 196: 23.8401:       2413Generation 196: 0.584412
Generation 197: 23.8401:       2410Generation 197: 0.584412
Generation 198: 23.8401:       2407Generation 198: 0.584412
Generation 199: 24.4668:       2404Generation 199: 0.584412
Generation 200: 24.4668:       2401Generation 200: 0.584412
Generation 201: 24.4668:       2398Generation 201: 0.584412
Generation 202: 24.4668:       2395Generation 202: 0.584412
Generation 203: 24.4668:       2392Generation 203: 0.584412
Generation 204: 24.4668:       2389Generation 204: 0.584412
Generation 205: 24.4668:       2386Generation 205: 0.584412
Generation 206: 24.4668:       2383Generation 206: 0.584412
Generation 207: 24.4668:       2380Generation 207: 0.584412
Generation 208: 24.4668:       2377Generation 208: 0.584412
Generation 209: 24.1274:       2374Generation 209: 0.584412
Generation 210: 24.1274:       2371Generation 210: 0.584412
Generation 211: 24.1274:       2368Generation 211: 0.584412
Generation 212: 24.1274:       2365Generation 212: 0.584412
Generation 213: 24.1274:       2362Generation 213: 0.584412
Generation 214: 24.1274:       2359Generation 214: 0.584412
Generation 215: 24.1274:       2356Generation 215: 0.584412
Generation 216: 24.1274:       2353Generation 216: 0.584412
Generation 217: 24.1274:       2350Generation 217: 0.584412
Generation 218: 24.1274:       2347Generation 218: 0.584412
Generation 219: 24.1274:       2344Generation 219: 0.584412
Generation 220: 24.1274:       2341Generation 220: 0.584412
Generation 221: 24.1274:       2338Generation 221: 0.584412
Generation 222: 24.1274:       2335Generation 222: 0.584412
Generation 223: 24.1274:       2332Generation 223: 0.584412
Generation 224: 24.1274:       2329Generation 224: 0.584412
Generation 225: 24.1274:       2326Generation 225: 0.584412
Generation 226: 24.4668:       2323Generation 226: 0.584412
Generation 227: 24.4668:       2320Generation 227: 0.584412
Generation 228: 24.4668:       2317Generation 228: 0.584412
Generation 229: 24.4668:       2314Generation 229: 0.584412
Generation 230: 24.4668:       2311Generation 230: 0.584412
Generation 231: 24.4668:       2308Generation 231: 0.584412
Generation 232: 24.4668:       2305Generation 232: 0.584412
Generation 233: 24.4668:       2302Generation 233: 0.584412
Generation 234: 24.4668:       2299Generation 234: 0.584412
Generation 235: 24.4668:       2296Generation 235: 0.584412
Generation 236: 24.4668:       2293Generation 236: 0.584412
Generation 237: 24.4668:       2290Generation 237: 0.584412
Generation 238: 24.4668:       2287Generation 238: 0.584412
Generation 239: 24.4668:       2284Generation 239: 0.584412
Generation 240: 24.4668:       2281Generation 240: 0.584412
Generation 241: 24.4668:       2278Generation 241: 0.584412
Generation 242: 24.4668:       2275Generation 242: 0.584412
Generation 243: 24.4668:       2272Generation 243: 0.584412
Generation 244: 24.4668:       2269Generation 244: 0.584412
Generation 245: 24.4668:       2266Generation 245: 0.584412
Generation 246: 24.4668:       2263Generation 246: 0.584412
Generation 247: 24.4668:       2260Generation 247: 0.584412
Generation 248: 24.4668:       2257Generation 248: 0.584412
Generation 249: 24.4668:       2254Generation 249: 0.584412
Generation 250: 24.4668:       2251Generation 250: 0.584412
Generation 251: 24.4668:       2248Generation 251: 0.584412
Generation 252: 24.4668:       2245Generation 252: 0.584412
Generation 253: 24.4668:       2242Generation 253: 0.584412
Generation 254: 24.4668:       2239Generation 254: 0.584412
Generation 255: 24.4668:       2236Generation 255: 0.584412
Generation 256: 24.4668:       2233Generation 256: 0.584412
Generation 257: 24.4668:       2230Generation 257: 0.584412
Generation 258: 24.4668:       2227Generation 258: 0.584412
Generation 259: 24.4668:       2224Generation 259: 0.584412
Generation 260: 24.4668:       2221Generation 260: 0.584412
Generation 261: 24.4668:       2218Generation 261: 0.584412
Generation 262: 24.4668:       2215Generation 262: 0.584412
Generation 263: 24.4668:       2212Generation 263: 0.584412
Generation 264: 24.4668:       2209Generation 264: 0.584412
Generation 265: 24.4668:       2206Generation 265: 0.584412
Generation 266: 24.4668:       2203Generation 266: 0.584412
Generation 267: 24.4668:       2200Generation 267: 0.584412
Generation 268: 24.4668:       2197Generation 268: 0.584412
Generation 269: 24.4668:       2194Generation 269: 0.584412
Generation 270: 24.4668:       2191Generation 270: 0.584412
